"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL13P1.321","MAL13P1.40","MAL7P1.18","MAL7P1.29","MAL7P1.65","MAL8P1.132","MAL8P1.91","PF07_0074","PF07_0079","PF08_0032","PF10_0111","PF10_0136","PF10_0191","PF10_0243","PF10_0307","PF10_0374","PF11_0087","PF11_0090","PF11_0260","PF11_0290","PF13_0032","PF13_0087","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF13_0219","PF14_0041","PF14_0112","PF14_0286","PF14_0360","PF14_0384","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0180w","PFA0430c","PFB0270w","PFB0590w","PFC0230c","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFD0470c","PFD0785c","PFE0165w","PFE0430w","PFE0585c","PFE0815w","PFE1280w","PFE1340w","PFF0200c","PFF0490w","PFF0610c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0855w","PFL0685w","PFL0885w","PFL0980w","PFL1270w","PFL2370c","PFL2520w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.316768853"," 0.5515956443"," 0.41888770","-0.3671411713","-0.0935657556"," 0.197657333"," 1.187050882","-0.025088027"," 1.139212618"," 0.7996905538","-0.246259324","-0.389071015","-0.476881798","-0.3915275306","-1.487559756","-0.4345930385"," 1.120162412","-1.017124865"," 0.290570586"," 0.360651106"," 0.301635020"," 0.254037630","-0.0253834277"," 0.668513304"," 0.201150734"," 0.237613589","-0.80491905","-0.4743651150"," 1.5164228459"," 0.317417156"," 0.509321778"," 1.152399519"," 4.570213e-02"," 2.381019e-01"," 0.789741460"," 0.637680823","-0.37932014","-1.038829259"," 0.620033954","-0.3580350006","-0.255077818"," 0.272158577"," 0.613968367","-0.769147594","-0.894046629","-0.2297765123","-1.469760319"," 0.325972146","-0.635850613","-0.005928679","-0.662031167","-0.253557920","-0.543948004"," 0.880615369","-0.222908349","-0.3038339418"," 0.674259154","-1.365175371","-1.633028e-01"," 0.39835576"," 0.772094909"," 0.330104665"," 0.3563599044","-0.478279948"," 0.421092401","-0.575146784","-0.635553305","-0.3520862222","-1.086363805"," 0.7434126753"," 0.5517402881","-0.534518458"," 0.376975797","-0.873863268",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.141389427"," 0.1461847853","-0.41935989","-0.2894859560","-0.0844221615"," 0.053784485","-0.058054760","-1.058675749"," 0.226883580","-0.0429221713","-0.050618873","-0.111138149","-0.404694992","-0.5416710351","-0.633727446","-0.0901293414"," 0.389736784","-0.096656294","-0.059262556","-0.192086718"," 0.168115840"," 0.187614253","-0.1149349879"," 0.574073188"," 0.466493970","-0.221377092","-0.10213417","-0.5164356734","-0.1667493669"," 0.387759870"," 0.325873840"," 0.478455893"," 4.050540e-01","-3.281362e-01"," 0.479811389","-0.160021922","-0.69809266","-0.634430446"," 0.397851621","-0.3573293118","-0.705360715"," 0.281763215"," 0.463856459","-0.098246854","-0.124773651"," 0.1120687620","-0.173469224","-0.238625189","-0.150602599"," 0.206776190","-0.358091435","-0.030586764"," 0.033481451"," 0.770591714","-0.014381658","-0.0445760667","-0.258748444","-0.564258305"," 1.190556e-02","-0.05209524"," 0.262077440"," 0.001531456"," 0.4983639547","-0.148950566","-0.415638803","-0.755813635","-1.008338781","-0.0432286969","-1.076405858"," 0.4080924602"," 0.3435997486","-0.106395028","-0.396061203","-1.278378829",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.273474890"," 0.9930801433"," 0.18569011","-0.1402458472","-0.0605548405"," 0.518038152"," 0.657141006","-0.405513451"," 0.755371917"," 0.7568478294"," 0.002630108","-0.626236412","-0.378445032","-0.3069392302","-0.876430172","-0.7720828886"," 0.511221158","-0.897326712","-0.340149422"," 0.336350326"," 0.227377058"," 0.344270716","-0.2008701571"," 0.895404992"," 0.166184429"," 0.351006248","-0.08537403","-0.9520929685"," 1.1267684990"," 0.126651284"," 0.762477237"," 0.773674180"," 2.585260e-01","-3.252663e-01"," 0.917575474"," 0.391700240"," 0.12098367","-1.006491060"," 0.474317856","-0.2093895864","-0.131707440","-0.123587473","-0.010116251","-0.185974961","-0.647870981","-0.5590258016","-1.793121727"," 0.085675271","-0.805255207","-0.177801575","-0.968685198","-0.267457132","-0.643790062"," 0.797107494","-0.053630205"," 0.1671929089"," 0.396614609","-1.125006747","-7.917846e-02"," 0.34289732"," 0.412727438","-0.027247997"," 0.3361640448","-0.702122986"," 0.100165532"," 0.288520236","-0.333904415","-0.7938142893","-0.961639700"," 0.4239750352"," 0.2419656299","-0.032235632"," 0.202044721","-0.422831734",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.107947623","-0.0869376888","-0.30096464"," 0.0197604449","-0.0474856700","-0.446979072","-0.261872206","-0.192191091"," 0.095373396","-0.1836287404","-0.152252745"," 0.183895550","-0.441268762","-0.2351383049","-0.852838207","-0.1417175085"," 0.265648614"," 0.109974571"," 0.111735952","-0.583802270"," 0.029850579"," 0.188847148","-0.0941353215"," 0.292268026"," 0.408103549","-0.291636236"," 0.01037766","-0.1065851679"," 0.0243161945"," 0.327736655"," 0.090720209"," 0.154814107"," 2.681862e-01"," 4.256218e-05"," 0.212235510"," 0.199437297","-0.73105262","-0.288439576"," 0.142750514","-0.4581490965","-0.639835157"," 0.332428351"," 0.362664113","-0.048090522"," 0.049433993"," 0.2562766625"," 0.114707604","-0.407308948"," 0.169979148"," 0.290240110"," 0.156792124"," 0.145920192"," 0.174673134"," 0.578470147"," 0.063478788","-0.1254567003","-0.549648851","-0.564096538","-1.474216e-03","-0.03864190"," 0.306418894"," 0.088294448"," 0.3986275880","-0.108909882","-0.308264460","-0.528548686","-0.533089422","-0.3106823548","-0.427052387"," 0.2681033356"," 0.3538890494","-0.498648135","-0.123289571","-1.497051807",1,1,"HDA"
"HDATP3"," 0.138395010","-0.145917703"," 0.1742445028","-0.09165820","-0.1497778116"," 0.1190933957","-0.117967805","-0.166752192"," 0.140289642"," 0.581533616"," 0.3336357655"," 0.062079038","-0.060321485","-0.467867465","-0.1134510308","-0.760770922","-0.4824533667","-0.413850895","-0.247113273"," 0.077630772"," 0.299636637"," 0.038216343"," 0.225334211","-0.5905272703"," 0.809560808"," 0.091114282","-0.248248440"," 0.39657541","-0.3832748625"," 0.3962719695"," 0.600264820"," 0.162140764"," 0.237912064","-2.393189e-02","-6.576253e-02"," 0.590943393"," 0.013508911","-0.21002078","-0.295197936"," 0.031763690","-0.5005300206","-0.634904699","-0.036707834"," 0.102950371","-0.228469099","-0.214155438","-0.0335087891","-0.111828583","-0.549613356","-0.068570479"," 0.217844716","-0.231474505"," 0.082196575","-0.199725580"," 0.599975750","-0.352555848","-0.0154585215","-0.167398141","-0.441467308"," 6.563746e-02","-0.42379332"," 0.144398089","-0.147470106"," 0.3114165011","-0.273132967","-0.167358371","-0.342015414","-0.015863803"," 0.1197238613","-0.410395946"," 0.5751926607"," 0.4458053759","-0.149049785"," 0.305285339"," 0.297935957",1,1,"HDA"
"HDATP3.3","-0.054201196","-0.092838517"," 0.0505991429","-0.08781566","-0.1290632515"," 0.1183150404","-0.142895133","-0.585080019","-0.201364434"," 0.004969205","-0.2216848820"," 0.012700692"," 0.156994231","-0.554104849","-0.1269314880","-0.606772983","-0.3756911152","-0.012811374","-0.060083708"," 0.071073564"," 0.235180556"," 0.105608191","-0.015290308","-0.2212965711"," 0.317616432"," 0.222055543","-0.172392087"," 0.05478049","-0.1436327408"," 0.1323577017"," 0.090393441"," 0.240992923"," 0.519129100"," 3.460524e-02","-1.749299e-01"," 0.328289270","-0.437687994","-0.53654955","-0.278265362"," 0.244406860","-0.5011821084","-0.908919612"," 0.187881056"," 0.180656612"," 0.049101672","-0.232029962"," 0.2621333931"," 0.007083550","-0.498981075"," 0.009833355","-0.024300364","-0.201158224"," 0.245310110"," 0.049364974"," 0.471157589","-0.275298057"," 0.1363015972","-0.255129742","-0.504903578","-4.188021e-02","-0.22959708"," 0.075230629","-0.072106864"," 0.1975745634"," 0.077842944","-0.177457330","-0.197051872","-0.855607358"," 0.3448964711","-0.699591230"," 0.2366168813"," 0.3914518666","-0.343299257","-0.047372148","-1.264684826",1,1,"HDA"
"ACTTP1"," 0.202264094","-0.038147474"," 0.0434920475"," 0.17112167"," 0.3877332147"," 0.1180514170"," 0.371335934","-0.120705055"," 0.321873851","-0.567098714","-0.5228678472","-0.219858887","-0.091782120"," 0.131030759","-1.2714800299","-0.609712455"," 0.7218219821"," 0.443604036"," 0.079297238"," 0.675116285"," 0.193954445"," 0.620290456"," 0.184804187"," 0.2869779368","-0.009197840","-0.763157584"," 0.367217415"," 0.24425936"," 0.2063098269","-0.5995011482"," 0.166078215"," 0.327610209"," 0.428941401","-7.380054e-05"," 8.239979e-02"," 0.189556861"," 0.162229304","-0.32933728","-0.465218240"," 0.164831810"," 0.0762081898","-0.518705977","-0.267874118"," 0.408632402"," 0.620675230","-0.037002962"," 0.3122227535","-0.211725982","-0.174481381"," 0.031693288","-0.663367371","-0.024164152"," 0.125725619","-0.380526745"," 0.052327009","-0.008737414","-0.0519485032","-0.231498675"," 0.387670853","-1.711199e-01","-0.23038200"," 0.127053847"," 0.371603352","-0.2977171072"," 0.229857353"," 0.803219664","-0.052090970"," 0.086195238"," 0.4656319632"," 0.223431949"," 0.2076246919"," 0.3704789272","-0.088109142"," 0.356543432"," 0.423564468",2,2,"ACTd"
"ACTTP2","-0.516225196"," 0.449399563"," 0.4564693785","-0.43599932"," 0.5074935419","-0.1853478379","-0.221771348"," 0.091426207","-0.081875483","-0.472476824","-0.0462571689","-1.298251225"," 0.408005432"," 0.005374384","-0.8500083553","-0.689272531"," 0.3438391648"," 0.713311372"," 0.140133175"," 1.261926559"," 0.196059729","-0.221971960"," 0.331770895"," 0.5406945381"," 0.088458114","-0.081602112"," 0.093042566","-0.10529164","-0.1257123412"," 0.2948070935"," 0.026828976","-0.080928775","-0.076521793"," 3.799954e-01"," 1.123479e-01","-0.310712634"," 0.080652515"," 0.24891658","-0.006808500","-0.274203555"," 0.0819345616"," 0.171843543"," 0.268160733"," 0.318692310","-0.320363762","-0.011216982","-0.2318163083"," 0.250690387"," 0.822321581","-0.006611051","-0.325205250"," 0.579164217"," 0.624834718"," 0.544585819","-0.028936559"," 0.513967092","-0.5927841970"," 0.137784124","-0.263355253"," 5.419662e-02"," 0.19230830"," 0.305175808","-0.462228489","-0.1599634264","-0.139954989"," 0.127128356","-0.335928791","-0.132768927","-0.1422799945","-0.462015464"," 0.0692360941"," 0.2917871906","-0.133486816","-0.016586875","-0.109457660",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.389143838"," 0.0128850864","-0.30056712"," 0.7990526794"," 0.2309941558"," 0.333498219","-0.199208135","-0.124747265","-0.341272825","-0.0644511628","-0.369727489"," 0.107888686","-0.681997727","-0.6427313060","-0.587621610"," 0.3154353387"," 1.671645560","-0.172911274"," 0.921505529"," 0.044743722"," 0.850917394"," 0.410518337","-0.4169283821","-0.409861874"," 0.484218778"," 0.189831039"," 0.08971356","-0.1848522310","-0.0548092492"," 0.057951347"," 0.519285891"," 0.350603527"," 2.849938e-01"," 5.308760e-01","-0.078109948"," 0.960883495","-0.69200239","-0.011000116","-0.070902547"," 0.1135519431"," 1.128508797"," 0.469568554"," 0.663982850"," 0.332240586","-0.628570736"," 0.0453987310"," 0.221261188","-0.286903536","-0.145069939"," 0.055098121"," 0.127187933","-0.137897916"," 0.592239934","-0.100173613"," 0.243268039","-0.2695612433","-0.097697549","-0.517773150","-3.024591e-01","-0.32470472"," 0.124003374","-0.045344622","-0.1839630876","-0.028275360"," 0.045918073","-0.169345975","-0.263698745"," 0.3712672459","-0.900634434","-0.3973515816","-0.1206258041","-0.231129462"," 0.389408754","-1.048793483",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.128876445"," 0.8316955429","-0.57964395"," 0.7683048076","-0.4173058866"," 0.144103224","-0.304166557","-0.193815414","-0.224430693","-0.3065212778","-0.625653241","-0.450211569","-0.057208533","-0.5183377581","-0.338768202"," 0.5667409353"," 1.595284514","-0.653733681"," 0.686265085"," 0.023136419"," 0.681495240"," 0.173927058"," 0.2242594186","-0.605867636"," 0.231544036","-0.314163878","-0.11671821","-0.0679262249"," 0.2389681096","-0.335294876"," 0.382644153","-0.122995618","-1.554440e-01"," 6.690681e-01","-0.372843031"," 1.108010815"," 0.62162355"," 0.117741607","-0.396171107"," 0.1708798346"," 1.910645734"," 0.633926131"," 0.737625979","-0.762976286","-0.400045183","-0.1272603968","-0.154242665"," 0.583532321"," 0.037925258"," 0.063397851"," 0.331188264","-0.235841689","-0.297718701","-1.070786885"," 0.382978540","-0.4342814270","-0.019515594","-0.714992465"," 1.670119e-01"," 0.50405548","-0.236155800","-0.403076390","-0.9761859059","-0.226318937"," 0.068443434","-0.349458012","-0.325758400"," 0.0800480746","-0.867352265","-0.2577466985","-0.1164159106","-0.386955734"," 0.155805145","-1.882239460",2,2,"ACTd"
"ACTTP5","-0.027316587"," 0.114292517"," 0.3110504492","-0.84301290"," 0.9088081485"," 0.0800037723"," 0.125007898","-0.065142651","-0.345610013","-0.092130331","-0.1182237659","-0.126929387","-0.329116191","-0.980156984"," 0.0992082077","-0.330549868"," 0.5953151230"," 1.196035785","-0.574118750"," 0.369307815","-0.230980675"," 0.826672943"," 0.706940463","-0.1171552495","-0.713872028"," 0.374782289","-0.519095418","-0.11218169","-0.1021402583"," 0.3960880218","-0.474843514"," 0.749434146"," 0.016522061"," 1.405340e-01"," 1.120127e+00","-0.496010032"," 0.874772792"," 0.45757797","-0.169054684","-0.271164784","-0.1067360897"," 1.355824243"," 0.092198304"," 0.606732612","-0.802213241","-0.593653095","-0.0697988622"," 0.216009901","-0.229487896"," 0.162602512","-0.027218233"," 0.139003096"," 0.389050712","-0.498615795","-1.641621932"," 0.507265175","-0.7661924788","-0.286613800","-1.004229432"," 1.062842e-02"," 0.27602046","-0.526414553","-0.829897719","-0.7183068260","-0.338780739"," 0.213815151","-0.389429912","-0.153506930"," 0.0318470427","-0.659746787","-0.2270215874","-1.0028763472","-0.819587446"," 0.348776477","-1.522531413",2,2,"ACTd"
